SQ_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,SG_PARTIDO,DS_GENERO,DS_GRAU_INSTRUCAO,patrimonio_total,qtd_bens,tipo_principal
40002546981,NEY DA PANAIR,DEPUTADO ESTADUAL,PDT,MASCULINO,ENSINO MÉDIO COMPLETO,20000.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002532764,DELEGADO LÁZARO MENDES,DEPUTADO FEDERAL,PSD,MASCULINO,SUPERIOR COMPLETO,20000.0,2,Terreno
40002536081,NONATO CHEGADO,DEPUTADO FEDERAL,DC,MASCULINO,LÊ E ESCREVE,17280.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002541609,TIAGO FALCÃO,DEPUTADO ESTADUAL,PODE,MASCULINO,SUPERIOR COMPLETO,15998.08,7,"Fundos: Ações, Mútuos de Privatização, Invest. Empresas Emergentes, Invest.Participação e Invest. Índice Mercado"
40002545610,BRENDA OLIVEIRA,DEPUTADO ESTADUAL,PT,FEMININO,SUPERIOR INCOMPLETO,13776.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002542679,MESTRE CLODOALDO,DEPUTADO ESTADUAL,PSB,MASCULINO,SUPERIOR COMPLETO,12000.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002536483,SÂMARA SOUZA,DEPUTADO ESTADUAL,AGIR,FEMININO,SUPERIOR INCOMPLETO,10000.0,1,Quotas ou quinhões de capital
40002536083,GLÁUCIA AMAZONAS,DEPUTADO FEDERAL,DC,FEMININO,ENSINO MÉDIO COMPLETO,10000.0,1,Quotas ou quinhões de capital
40002540482,MICKA SEVALHO,DEPUTADO FEDERAL,PL,FEMININO,SUPERIOR COMPLETO,9804.1,3,Depósito bancário em conta corrente no País
40002542673,TENENTE CORONEL ADRIANA,DEPUTADO FEDERAL,PP,FEMININO,SUPERIOR COMPLETO,9362.15,3,Depósito bancário em conta corrente no País
40002551005,VALDECO TATTOO,DEPUTADO FEDERAL,PSOL,MASCULINO,ENSINO MÉDIO COMPLETO,8000.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002545611,SABUGO,DEPUTADO ESTADUAL,PT,MASCULINO,ENSINO MÉDIO COMPLETO,8000.0,1,Depósito bancário em conta corrente no País
40002546995,CARLOS MORAES,DEPUTADO ESTADUAL,PDT,MASCULINO,SUPERIOR INCOMPLETO,7500.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002535270,EVANDRO DE OLIVEIRA,SENADOR,PSTU,MASCULINO,ENSINO MÉDIO COMPLETO,7000.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002536475,INGRID MENDONÇA,DEPUTADO ESTADUAL,AGIR,FEMININO,SUPERIOR COMPLETO,6926.53,1,Caderneta de poupança
40002532760,ANA PAULA MESQUITA,DEPUTADO FEDERAL,PSD,FEMININO,SUPERIOR INCOMPLETO,5478.94,1,OUTROS BENS E DIREITOS
40002532752,ENFERMEIRA SOCORRO DUTRA,DEPUTADO ESTADUAL,MDB,FEMININO,SUPERIOR COMPLETO,5000.0,1,Caderneta de poupança
40002551318,NETE MOURA PROTETORA,DEPUTADO ESTADUAL,PSOL,FEMININO,SUPERIOR COMPLETO,5000.0,1,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002549918,DOUTORA ALICE MAFRA,DEPUTADO FEDERAL,MOBILIZA,FEMININO,SUPERIOR COMPLETO,5000.0,1,Quotas ou quinhões de capital
40002552704,EBERSON BATERA,DEPUTADO FEDERAL,MOBILIZA,MASCULINO,ENSINO MÉDIO COMPLETO,5000.0,1,Quotas ou quinhões de capital
40002534386,RAUL DA RECICLAGEM,DEPUTADO ESTADUAL,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,5000.0,1,Dinheiro em espécie - moeda nacional
40002532757,MÁRCIA SANTTOS,DEPUTADO ESTADUAL,MDB,FEMININO,SUPERIOR COMPLETO,5000.0,1,Caderneta de poupança
40002534388,CLAUDIO SANTOS,DEPUTADO ESTADUAL,REPUBLICANOS,MASCULINO,ENSINO MÉDIO INCOMPLETO,5000.0,1,Dinheiro em espécie - moeda nacional
40002534392,ANNE MOTA,DEPUTADO ESTADUAL,REPUBLICANOS,FEMININO,ENSINO MÉDIO COMPLETO,5000.0,1,Dinheiro em espécie - moeda nacional
40002541619,JÀRDEL INÁCIO,DEPUTADO FEDERAL,PSB,MASCULINO,SUPERIOR COMPLETO,4484.85,6,Depósito bancário em conta corrente no País
40002532786,GRAZZY,DEPUTADO ESTADUAL,PSD,FEMININO,SUPERIOR COMPLETO,4248.25,1,Outros fundos
40002552705,SGT. ANA CLAUDIA,DEPUTADO ESTADUAL,REPUBLICANOS,FEMININO,SUPERIOR INCOMPLETO,3000.0,1,Dinheiro em espécie - moeda nacional
40002533203,ADRIANA BORGES,DEPUTADO FEDERAL,REPUBLICANOS,FEMININO,SUPERIOR COMPLETO,3000.0,1,Dinheiro em espécie - moeda nacional
40002533209,JOSILDO OLIVEIRA,DEPUTADO FEDERAL,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,3000.0,1,Dinheiro em espécie - moeda nacional
40002534374,EDVAN PURUS,DEPUTADO ESTADUAL,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,3000.0,1,Dinheiro em espécie - moeda nacional
40002534376,LUCAS ABREU,DEPUTADO ESTADUAL,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,3000.0,1,Dinheiro em espécie - moeda nacional
40002534378,KARLA CAMPOS,DEPUTADO ESTADUAL,REPUBLICANOS,FEMININO,SUPERIOR INCOMPLETO,3000.0,1,Dinheiro em espécie - moeda nacional
40002550805,NEIDA FARIAS,1º SUPLENTE,MOBILIZA,FEMININO,SUPERIOR COMPLETO,2294.7,6,"Aplicação de renda fixa (CDB, RDB e outros)"
40002550804,ANGELO REIS,2º SUPLENTE,MOBILIZA,MASCULINO,SUPERIOR COMPLETO,2154.33,2,"Aplicação de renda fixa (CDB, RDB e outros)"
40002534379,NAGLIA AMORIM,DEPUTADO ESTADUAL,REPUBLICANOS,FEMININO,SUPERIOR COMPLETO,2000.0,1,Dinheiro em espécie - moeda nacional
40002532748,CLÁUDIA TIKUNA,DEPUTADO ESTADUAL,MDB,FEMININO,ENSINO MÉDIO COMPLETO,2000.0,1,Caderneta de poupança
40002534383,ST MANOEL LOUREIRO,DEPUTADO ESTADUAL,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,2000.0,1,Dinheiro em espécie - moeda nacional
40002533202,GLAUCIA REBELO,DEPUTADO FEDERAL,REPUBLICANOS,FEMININO,ENSINO MÉDIO COMPLETO,2000.0,1,Dinheiro em espécie - moeda nacional
40002531439,DRA. AMANDA PINHEIRO,DEPUTADO FEDERAL,MDB,FEMININO,SUPERIOR COMPLETO,1873.49,3,Depósito bancário em conta corrente no País
40002532738,MICHAELL SANTOS,DEPUTADO ESTADUAL,MDB,MASCULINO,SUPERIOR COMPLETO,1073.8400000000001,3,Caderneta de poupança
40002536084,PROFESSORA LENE MAIA,DEPUTADO FEDERAL,DC,FEMININO,SUPERIOR COMPLETO,1000.0,1,Casa
40002536080,DOUTORA AMANDA SOUZA,DEPUTADO FEDERAL,DC,FEMININO,SUPERIOR COMPLETO,1000.0,1,Quotas ou quinhões de capital
40002546978,ANA ROQUE,DEPUTADO FEDERAL,UP,FEMININO,SUPERIOR COMPLETO,825.09,1,"Aplicação de renda fixa (CDB, RDB e outros)"
40002545597,PROFESSOR ARQLEYDSSON,DEPUTADO FEDERAL,PCDOB,MASCULINO,SUPERIOR COMPLETO,388.7,1,Caderneta de poupança
40002532787,CB MAILSON JESUS,DEPUTADO ESTADUAL,PSD,MASCULINO,SUPERIOR COMPLETO,223.75,4,OUTROS BENS E DIREITOS
40002546977,JOÃO LIMA,DEPUTADO FEDERAL,UP,MASCULINO,SUPERIOR INCOMPLETO,120.17,1,"Aplicação de renda fixa (CDB, RDB e outros)"
40002541614,JAIRO DA VICAL,DEPUTADO ESTADUAL,PODE,MASCULINO,ENSINO MÉDIO COMPLETO,100.0,1,Depósito bancário em conta corrente no País
40002539048,IANA NADINA,DEPUTADO FEDERAL,MISSÃO,FEMININO,ENSINO MÉDIO COMPLETO,98.16,2,Ações (inclusive as provenientes de linha telefônica)
40002536493,RONY DA PESCA,DEPUTADO ESTADUAL,AGIR,MASCULINO,ENSINO MÉDIO COMPLETO,65.75,1,Caderneta de poupança
40002547000,JÚNIOR RIBEIRO,DEPUTADO ESTADUAL,PDT,MASCULINO,SUPERIOR COMPLETO,1.0,1,Depósito bancário em conta corrente no País
40002541601,SGT  LOIOLA,DEPUTADO ESTADUAL,PODE,MASCULINO,SUPERIOR COMPLETO,0.54,2,Caderneta de poupança
40002536914,EDMILSON LOPES,DEPUTADO ESTADUAL,NOVO,MASCULINO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002549860,MADALENA SILVA,DEPUTADO FEDERAL,PDT,FEMININO,ENSINO MÉDIO COMPLETO,0.0,0,Nenhum bem declarado
40002536477,MOISÉS DAS AÇÕES,DEPUTADO ESTADUAL,AGIR,MASCULINO,ENSINO MÉDIO COMPLETO,0.0,0,Nenhum bem declarado
40002549859,ROBÉRIO KAMBEBA,DEPUTADO FEDERAL,PDT,MASCULINO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002541620,PAIXÃO,DEPUTADO FEDERAL,PSB,MASCULINO,ENSINO MÉDIO COMPLETO,0.0,0,Nenhum bem declarado
40002536896,MICHAEL LEMOS,DEPUTADO ESTADUAL,NOVO,MASCULINO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002532777,JORGE SANTIAGO,DEPUTADO ESTADUAL,PSD,MASCULINO,ENSINO MÉDIO COMPLETO,0.0,0,Nenhum bem declarado
40002542685,LEIVSON LUIZ,DEPUTADO ESTADUAL,PSB,MASCULINO,SUPERIOR COMPLETO,0.0,0,Nenhum bem declarado
40002546998,TUXÁUA NAZA MURA,DEPUTADO ESTADUAL,PDT,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,0.0,0,Nenhum bem declarado
40002541621,MARCIA SILVA,DEPUTADO FEDERAL,PSB,FEMININO,ENSINO FUNDAMENTAL COMPLETO,0.0,0,Nenhum bem declarado
